검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,원문날짜,날짜검증결과,제외단계,v20_issue_id,v20_issue_group,매칭대표점수
카카오,"카카오페이, NH농협은행 등과 맞손…'씬파일러' 대상 대안신용평가 모형 개발",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1jWVBiQzY1dnJESldDZFFjUHh0LUhaeUhlSTVxWUI2LTk3Nzd4RUMydjZpaGhMZ0gtS2M4VnVHc0FNYUc2UG1zV213U0ZOQnc?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"[Digital & Now] 카카오모빌리티, 기아와 자율주행 전용 PBV 개발",https://news.google.com/rss/articles/CBMiaEFVX3lxTE9heV9KdFFhalBGbTYxYV9tQ016ZDZXUVRibi1vbF9CYld4bHBJYnplOEZqVjh6R3BDcGl0SFNqdzczVGhRMkc2cHpJRTF2d0VGeWdETnBvczRMY25Uc0szRlhlZ1BWcmxU?oc=5,ebn.co.kr,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"기아, 카카오모빌리티와 자율주행 서비스 전용 PBV 개발 협력",https://news.google.com/rss/articles/CBMiXEFVX3lxTE9yLUdMSTJVclpwSmFrVDdNbWhIcW1rQ3c5czNRQmtVOW45a2I2Y3JMLXZqaEFoeTdhNHQzM052OWVnMXFBZUR3NVJxbWtPNG94d3Ewc3JJRVpadUhZ?oc=5,오토뷰,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,기아-카카오모빌리티 손잡고 자율주행 PBV 개발,https://news.google.com/rss/articles/CBMibEFVX3lxTFAzTWlMNV83bEYtQnk2LXAyYy1QM1dXd3ZsRXNrQlVLZXJEbHlTQ0NOYXFnWUpSMkVGeDhqRUY0emhIQmM3dlZxbW1IVkFMTFJmLVl3SndtWmF6dGc1eVFXRzBfdnhjUHMzRG5aRg?oc=5,교통뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,자율주행 상용화 속도내는 기아…카카오모빌리티와 손잡고 PBV 생태계 구축,https://news.google.com/rss/articles/CBMickFVX3lxTE5oemNSODdFaWtaZmJrb1hTdVh4RXY5Y0psVjBkaEZSTHFPN2ZYUVpzUmhoUGprUXhDN3pjdHBUcFJUeERpa1MzNEltMWotcjQtUEprN1R2WnFzNTRWc1l5TzQtWnhJeXJFbV9aLTdFS2p6QQ?oc=5,인더스트리뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, AI 모델 '카나나-오' 알린다…유튜브 콘텐츠 시리즈 공개",https://news.google.com/rss/articles/CBMibEFVX3lxTE1lVkdibmx6YTdWdTRxN0xpWjhCVU5JS2hDX1NLNVZHbHRGRU90a1VHSDltWTJzRlBlVTZJaHdMWTZaSzQyNVZ2ekw3Ymc0S2JKV2R3VEk3cXJTMWliczE5ajl3cWR2eFpmUEljbw?oc=5,뉴스락,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"[전자·IT 레이더] 카페24·한컴위드·카카오, 독자 기술과 특화 서비스로 시장 영향력 확대",https://news.google.com/rss/articles/CBMiVEFVX3lxTE9xMDR0ZGU3aWtCSXl1eUJLaHpsdWN2bWc4dUxhNmdyY3BTN2gzS2Qwa1hzMGlLNGlTdGs1aEJ4WU9vTGJvWkN1ck9OX05wTVluYWkzMw?oc=5,더밸류뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오모빌리티, 기아 자율주행차 설계 나선다",https://news.google.com/rss/articles/CBMiZEFVX3lxTFBQRGZZYmlHTTFQTEkzUngwTkc5UFpxVDZOUE80QUE5ZXdSb05nRjI2bHdZNFNJcms5bUtWWWI1R2x5MktZN2k2dnpyWVpCcmdDS1hOTWJMVktoVjVLMjlEVTFNUWs?oc=5,디지털데일리,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,삼성라이온즈·카카오 캐릭터 라이언 협업 상품 출시,https://news.google.com/rss/articles/CBMiR0FVX3lxTE85ZEhXUUV4NXU3QUF4dlZ3cWFvblNVSEo0c05fZ0VjVDhua2pYTUp3djZoVVdlNDZKQzNSSmgtamRZX2FwOURn?oc=5,아이뉴스24,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,기아·카카오모빌리티 '자율주행 PBV' 개발 위해 맞손,https://news.google.com/rss/articles/CBMib0FVX3lxTE1GWVBkLVB1M0ZFSlZzQTk4R2dDZURGeFh4MVh2ZjgwWGNjVjZOaDF6dm1ETUF5S0NDanNLS19jdnhSNXRKcEw4eWdzRDk4bE5XbXRoQUNRZWZacVRuazB3RHlxS2JERk9Ga2t6NXQySdIBc0FVX3lxTE13LXhPOHRYbmZKcDhLZWpETWw5YXYtd2t6WnFFckoyVmM3cVI3SjAwbjFuZTRaaTZiMmp0cGFxOGU4emlFcmp0VnJpaDVFSFloYV94Skg4MWI4bTJnT201OXdhbk9mVnduLV9wTVF3QkJ6a1k?oc=5,뉴스웍스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오모빌리티-기아, 자율주행 전용 차량 개발 및 핵심 기술 협력",https://news.google.com/rss/articles/CBMibkFVX3lxTFBGOW5VZDl6Wm5BeEJQaXNiWVNvMVJfNkd2eUQzX0RYOTBITmgtYVdaUnl1SFQxN2JWMjZQOS1uTW9RYTNxNXlqenpPX3JpN01IbFRaQVNtOHB5blFraV8zNm1JTmlqb211VXJWT2VR?oc=5,중소기업신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"기아-카카오모빌리티, 자율주행 전용 PBV 개발 협력…PV5 기반 실증 추진",https://news.google.com/rss/articles/CBMia0FVX3lxTFBxaXY1Mk1HaUdUQkRIa1FEYWd0UnNTV09XRTJjemdMZEdFV0YyVGVtSnM3SnhrMXYtczVoWFdsdVN1ZDA3eno3T2dnbE5aM3pDS0dpaDZSU190cnkxZGFmUldfV3ZxVV9UZ2RV?oc=5,파이낸셜신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, 옴니모달 AI '카나나-오' 소개 영상 시리즈 공개",https://news.google.com/rss/articles/CBMifEFVX3lxTFBxVy1zckNxT2J3b0JVRjhuOFlPYlZxcGtVa25IN3lJWk5QbU9KdlU5ZTFTd21wQnA4bG1IQTJ0TnVLT1NHQVZXTmQ0Si1QSVpXNGxmMjJ6c2pwb1pHaXpIaW5BeXN0ekM3ZXpYTWl4WXJnM2ZQUktpbUI5Qmc?oc=5,디지틀조선TV,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
